Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,31,48
2004-02,76,27,50
2004-03,70,25,47
2004-04,69,23,47
2004-05,74,23,43
2004-06,66,23,45
2004-07,63,24,46
2004-08,60,27,44
2004-09,57,27,46
2004-10,53,24,44
2004-11,50,24,44
2004-12,44,24,42
2005-01,65,33,45
2005-02,55,29,47
2005-03,57,27,46
2005-04,56,25,44
2005-05,60,25,43
2005-06,54,25,44
2005-07,53,25,45
2005-08,52,28,45
2005-09,46,27,45
2005-10,46,26,44
2005-11,44,26,42
2005-12,39,25,40
2006-01,63,34,45
2006-02,53,28,45
2006-03,52,28,48
2006-04,50,26,47
2006-05,50,26,45
2006-06,53,26,45
2006-07,51,27,44
2006-08,50,30,45
2006-09,46,30,45
2006-10,44,28,46
2006-11,44,27,45
2006-12,38,27,40
2007-01,58,36,48
2007-02,50,33,49
2007-03,52,31,48
2007-04,53,32,48
2007-05,49,32,48
2007-06,49,31,47
2007-07,49,31,50
2007-08,45,32,53
2007-09,45,32,51
2007-10,43,28,52
2007-11,40,28,51
2007-12,36,26,44
2008-01,54,36,53
2008-02,46,30,51
2008-03,45,29,51
2008-04,48,28,52
2008-05,45,27,49
2008-06,43,27,50
2008-07,44,28,53
2008-08,44,31,49
2008-09,42,33,63
2008-10,43,29,73
2008-11,40,28,59
2008-12,37,27,52
2009-01,54,36,55
2009-02,46,30,57
2009-03,49,30,61
2009-04,50,29,58
2009-05,48,29,54
2009-06,48,28,56
2009-07,47,28,57
2009-08,48,31,57
2009-09,45,31,59
2009-10,44,27,56
2009-11,42,28,52
2009-12,40,26,47
2010-01,58,36,51
2010-02,51,32,53
2010-03,51,30,55
2010-04,52,30,56
2010-05,52,29,54
2010-06,49,28,53
2010-07,49,30,51
2010-08,49,32,51
2010-09,47,32,53
2010-10,46,29,51
2010-11,43,29,51
2010-12,40,29,46
2011-01,60,40,50
2011-02,52,33,51
2011-03,55,34,53
2011-04,59,32,50
2011-05,58,32,49
2011-06,54,32,48
2011-07,54,31,48
2011-08,52,34,58
2011-09,51,36,53
2011-10,48,33,49
2011-11,49,34,47
2011-12,44,32,42
2012-01,65,43,45
2012-02,57,37,49
2012-03,57,36,49
2012-04,56,35,46
2012-05,55,34,48
2012-06,54,35,45
2012-07,56,37,45
2012-08,55,37,45
2012-09,52,38,48
2012-10,48,35,47
2012-11,45,33,43
2012-12,41,33,39
2013-01,65,44,47
2013-02,58,39,47
2013-03,58,38,46
2013-04,59,38,48
2013-05,56,37,47
2013-06,55,37,44
2013-07,56,37,46
2013-08,53,40,46
2013-09,51,40,47
2013-10,47,38,48
2013-11,46,37,44
2013-12,42,36,39
2014-01,62,48,47
2014-02,54,43,47
2014-03,55,43,47
2014-04,54,41,47
2014-05,51,40,44
2014-06,50,39,44
2014-07,48,39,46
2014-08,46,41,45
2014-09,46,42,49
2014-10,44,38,48
2014-11,42,38,43
2014-12,39,38,42
2015-01,57,50,46
2015-02,48,45,47
2015-03,51,44,47
2015-04,51,43,46
2015-05,48,42,43
2015-06,48,43,45
2015-07,47,43,47
2015-08,46,45,48
2015-09,44,45,49
2015-10,42,41,45
2015-11,40,41,42
2015-12,38,42,41
2016-01,53,53,44
2016-02,48,47,46
2016-03,48,47,43
2016-04,49,46,44
2016-05,47,45,42
2016-06,44,47,45
2016-07,45,58,42
2016-08,45,54,43
2016-09,43,51,44
2016-10,40,45,42
2016-11,39,46,44
2016-12,36,45,40
2017-01,54,58,43
2017-02,57,51,43
2017-03,52,50,45
2017-04,49,48,42
2017-05,49,48,45
2017-06,48,50,43
2017-07,50,52,43
2017-08,47,51,43
2017-09,44,50,47
2017-10,45,48,46
2017-11,42,48,48
2017-12,40,46,51
2018-01,59,60,55
2018-02,54,52,49
2018-03,55,51,49
2018-04,57,50,47
2018-05,55,49,46
2018-06,52,50,44
2018-07,54,51,45
2018-08,51,52,47
2018-09,47,51,47
2018-10,46,47,49
2018-11,43,48,43
2018-12,42,47,41
2019-01,64,59,46
2019-02,52,52,47
2019-03,53,51,46
2019-04,54,48,46
2019-05,48,47,48
2019-06,48,52,47
2019-07,47,51,49
